timestamp,wind_speed_10m,wind_speed_100m,wind_gusts,wind_direction
2024-05-20 21:00:00,4.1,8.0,9.7,82
2024-05-20 22:00:00,3.6,7.0,8.6,69
2024-05-20 23:00:00,3.3,5.8,7.9,68
2024-05-21 00:00:00,3.4,5.3,7.2,62
2024-05-21 01:00:00,4.2,5.3,7.9,62
2024-05-21 02:00:00,5.4,6.2,8.6,54
2024-05-21 03:00:00,6.0,6.9,9.0,43
2024-05-21 04:00:00,5.0,6.1,9.0,45
2024-05-21 05:00:00,2.7,6.6,8.3,45
2024-05-21 06:00:00,3.7,6.6,8.6,49
2024-05-21 07:00:00,4.5,6.2,12.6,69
2024-05-21 08:00:00,6.5,8.6,18.4,88
2024-05-21 09:00:00,5.8,7.6,18.4,85
2024-05-21 10:00:00,6.8,8.6,20.2,90
2024-05-21 11:00:00,7.9,10.4,22.3,88
2024-05-21 12:00:00,9.5,12.3,25.2,95
2024-05-21 13:00:00,9.9,13.1,27.0,106
2024-05-21 14:00:00,10.4,13.6,27.0,107
2024-05-21 15:00:00,10.7,14.5,28.4,104
2024-05-21 16:00:00,12.1,16.1,29.2,106
2024-05-21 17:00:00,13.0,18.1,30.6,95
2024-05-21 18:00:00,10.9,14.8,29.9,93
2024-05-21 19:00:00,11.6,16.6,25.6,92
2024-05-21 20:00:00,10.9,16.3,25.6,95
2024-05-21 21:00:00,9.7,14.8,23.0,86
2024-05-21 22:00:00,10.9,16.7,23.4,83
2024-05-21 23:00:00,11.7,17.4,24.5,83
2024-05-22 00:00:00,10.6,16.8,24.5,80
2024-05-22 01:00:00,6.5,10.3,16.9,61
2024-05-22 02:00:00,6.1,9.7,14.4,45
2024-05-22 03:00:00,5.8,9.7,13.7,27
2024-05-22 04:00:00,6.3,10.4,13.7,20
2024-05-22 05:00:00,5.5,8.9,13.7,21
2024-05-22 06:00:00,7.2,9.8,16.2,28
2024-05-22 07:00:00,6.8,9.7,16.6,31
2024-05-22 08:00:00,8.5,11.3,20.5,27
2024-05-22 09:00:00,9.7,13.3,24.5,41
2024-05-22 10:00:00,7.7,10.5,24.5,31
2024-05-22 11:00:00,9.7,12.7,25.9,61
2024-05-22 12:00:00,6.2,9.2,27.0,39
2024-05-22 13:00:00,6.3,9.0,22.0,344
2024-05-22 14:00:00,11.0,18.3,23.8,350
2024-05-22 15:00:00,10.9,19.5,27.0,355
2024-05-22 16:00:00,15.9,27.7,33.8,347
2024-05-22 17:00:00,20.6,35.7,43.9,351
2024-05-22 18:00:00,24.2,41.1,53.3,344
2024-05-22 19:00:00,27.9,46.7,60.1,340
2024-05-22 20:00:00,29.6,49.1,64.1,338
2024-05-22 21:00:00,31.4,52.4,68.0,337
2024-05-22 22:00:00,30.4,50.5,68.8,339
2024-05-22 23:00:00,28.7,47.3,66.2,339
2024-05-23 00:00:00,24.8,41.5,61.9,337
2024-05-23 01:00:00,25.3,41.1,54.4,337
2024-05-23 02:00:00,25.0,40.7,54.7,337
2024-05-23 03:00:00,22.3,37.2,54.0,340
2024-05-23 04:00:00,21.0,35.0,49.3,340
2024-05-23 05:00:00,22.3,36.5,48.6,338
2024-05-23 06:00:00,23.7,38.7,51.1,337
2024-05-23 07:00:00,24.3,40.0,53.3,338
2024-05-23 08:00:00,24.8,39.6,55.1,335
2024-05-23 09:00:00,24.7,39.4,54.0,333
2024-05-23 10:00:00,24.6,39.0,54.4,335
2024-05-23 11:00:00,25.3,38.1,54.4,341
2024-05-23 12:00:00,24.8,38.0,54.4,341
2024-05-23 13:00:00,22.4,34.9,51.8,332
2024-05-23 14:00:00,20.7,32.7,47.2,330
2024-05-23 15:00:00,20.1,32.0,44.6,334
2024-05-23 16:00:00,19.7,30.8,43.2,331
2024-05-23 17:00:00,20.1,32.4,44.3,333
2024-05-23 18:00:00,18.9,31.9,42.1,330
2024-05-23 19:00:00,17.7,30.8,39.6,337
2024-05-23 20:00:00,16.6,29.6,37.1,334
2024-05-23 21:00:00,12.2,24.2,34.2,337
2024-05-23 22:00:00,9.7,19.0,27.0,341
2024-05-23 23:00:00,8.1,16.4,21.6,341
2024-05-24 00:00:00,7.3,15.2,18.4,338
2024-05-24 01:00:00,10.9,22.1,24.8,348
2024-05-24 02:00:00,9.2,18.4,23.8,349
2024-05-24 03:00:00,7.6,15.0,19.8,349
2024-05-24 04:00:00,6.0,11.4,16.6,349
2024-05-24 05:00:00,5.4,7.6,13.3,355
2024-05-24 06:00:00,4.6,5.4,11.2,352
2024-05-24 07:00:00,2.5,3.2,9.4,333
2024-05-24 08:00:00,0.5,0.8,7.6,243
2024-05-24 09:00:00,2.3,2.5,8.6,135
2024-05-24 10:00:00,5.7,7.2,13.7,143
2024-05-24 11:00:00,6.5,8.5,16.6,144
2024-05-24 12:00:00,6.3,8.1,15.8,167
2024-05-24 13:00:00,5.0,6.0,14.4,163
2024-05-24 14:00:00,6.5,8.3,18.0,180
2024-05-24 15:00:00,7.0,9.2,18.4,159
2024-05-24 16:00:00,8.0,10.6,18.7,152
2024-05-24 17:00:00,7.4,10.3,19.1,151
2024-05-24 18:00:00,7.1,9.7,17.6,135
2024-05-24 19:00:00,8.2,11.7,18.4,137
2024-05-24 20:00:00,5.1,9.7,16.9,138
2024-05-24 21:00:00,4.1,6.9,10.8,137
2024-05-24 22:00:00,4.0,6.7,7.9,126
2024-05-24 23:00:00,3.7,9.2,9.0,121
2024-05-25 00:00:00,3.9,6.6,9.0,139
2024-05-25 01:00:00,4.9,8.8,11.9,161
2024-05-25 02:00:00,5.6,9.5,13.3,171
2024-05-25 03:00:00,3.6,6.6,13.0,167
2024-05-25 04:00:00,6.1,9.4,14.0,140
2024-05-25 05:00:00,9.3,15.3,21.6,146
2024-05-25 06:00:00,8.3,12.2,22.0,166
2024-05-25 07:00:00,7.6,10.5,20.2,176
2024-05-25 08:00:00,10.7,14.3,25.6,162
2024-05-25 09:00:00,12.4,16.3,28.8,172
2024-05-25 10:00:00,12.5,16.6,29.2,162
2024-05-25 11:00:00,12.4,17.1,29.2,145
2024-05-25 12:00:00,12.8,17.3,31.0,138
2024-05-25 13:00:00,11.2,15.1,28.1,130
2024-05-25 14:00:00,14.8,20.4,33.8,135
2024-05-25 15:00:00,17.1,24.0,38.2,130
2024-05-25 16:00:00,17.3,24.4,38.2,121
2024-05-25 17:00:00,18.7,26.8,41.0,112
2024-05-25 18:00:00,15.7,22.7,41.4,105
2024-05-25 19:00:00,14.1,21.6,33.8,86
2024-05-25 20:00:00,13.5,21.6,31.0,75
2024-05-25 21:00:00,13.8,22.3,30.6,76
2024-05-25 22:00:00,13.1,22.5,30.2,78
2024-05-25 23:00:00,14.3,22.5,30.6,83
2024-05-26 00:00:00,12.8,23.4,30.2,80
2024-05-26 01:00:00,14.3,25.2,29.2,88
2024-05-26 02:00:00,15.6,23.9,34.9,85
2024-05-26 03:00:00,14.6,25.5,33.5,77
2024-05-26 04:00:00,14.9,26.2,31.7,77
2024-05-26 05:00:00,16.8,27.4,36.4,76
2024-05-26 06:00:00,16.4,26.1,36.4,75
2024-05-26 07:00:00,18.0,26.8,40.0,78
2024-05-26 08:00:00,18.1,26.8,39.2,73
2024-05-26 09:00:00,15.8,23.6,39.2,78
2024-05-26 10:00:00,12.6,18.9,35.6,76
2024-05-26 11:00:00,12.1,17.7,29.9,63
2024-05-26 12:00:00,15.3,22.1,32.8,74
2024-05-26 13:00:00,15.3,23.8,38.2,80
2024-05-26 14:00:00,15.5,24.5,36.7,92
2024-05-26 15:00:00,15.7,22.6,34.6,98
2024-05-26 16:00:00,14.6,22.1,35.3,124
2024-05-26 17:00:00,13.8,21.3,31.7,118
2024-05-26 18:00:00,12.0,19.6,30.6,107
2024-05-26 19:00:00,13.2,22.3,28.8,111
2024-05-26 20:00:00,11.6,19.8,28.8,119
2024-05-26 21:00:00,8.9,17.9,25.6,120
2024-05-26 22:00:00,8.7,14.8,20.9,131
2024-05-26 23:00:00,3.8,8.1,17.3,148
2024-05-27 00:00:00,2.1,5.5,9.0,157
2024-05-27 01:00:00,4.7,7.0,9.4,125
2024-05-27 02:00:00,4.6,5.5,11.5,79
2024-05-27 03:00:00,2.5,6.5,11.9,109
2024-05-27 04:00:00,2.9,5.5,7.2,113
2024-05-27 05:00:00,2.7,4.0,7.6,85
2024-05-27 06:00:00,2.2,2.2,8.6,99
2024-05-27 07:00:00,3.5,4.3,11.2,175
2024-05-27 08:00:00,4.4,5.8,14.4,176
2024-05-27 09:00:00,4.6,5.5,17.3,169
2024-05-27 10:00:00,6.2,7.9,18.7,196
2024-05-27 11:00:00,8.2,10.6,20.5,215
2024-05-27 12:00:00,10.0,13.3,25.2,213
2024-05-27 13:00:00,10.8,13.7,29.2,207
2024-05-27 14:00:00,12.0,17.1,34.2,231
2024-05-27 15:00:00,13.2,18.0,28.8,244
2024-05-27 16:00:00,14.4,20.9,35.3,259
2024-05-27 17:00:00,14.1,20.2,34.2,266
2024-05-27 18:00:00,14.2,21.0,32.4,263
2024-05-27 19:00:00,11.4,17.9,31.3,261
2024-05-27 20:00:00,7.1,15.4,24.8,259
2024-05-27 21:00:00,5.6,13.9,16.2,249
2024-05-27 22:00:00,6.0,15.4,14.0,237
2024-05-27 23:00:00,6.8,17.3,15.8,234
2024-05-28 00:00:00,6.0,16.0,15.8,239
2024-05-28 01:00:00,6.0,16.0,15.8,226
2024-05-28 02:00:00,4.5,12.9,14.4,207
2024-05-28 03:00:00,5.6,10.0,11.5,195
2024-05-28 04:00:00,4.0,7.3,11.9,191
2024-05-28 05:00:00,2.7,6.8,9.0,180
2024-05-28 06:00:00,3.3,6.4,11.5,153
2024-05-28 07:00:00,5.8,7.6,16.6,175
2024-05-28 08:00:00,8.1,10.7,20.5,160
2024-05-28 09:00:00,11.3,15.3,27.0,153
2024-05-28 10:00:00,11.7,16.1,27.4,132
2024-05-28 11:00:00,16.1,22.5,36.0,140
2024-05-28 12:00:00,13.7,19.4,35.6,145
2024-05-28 13:00:00,14.7,21.4,32.4,117
2024-05-28 14:00:00,14.3,20.4,33.1,122
2024-05-28 15:00:00,13.2,20.1,31.3,119
2024-05-28 16:00:00,11.1,16.9,29.2,117
2024-05-28 17:00:00,11.8,17.1,25.9,108
2024-05-28 18:00:00,10.7,14.7,26.6,107
2024-05-28 19:00:00,7.1,12.1,22.7,78
2024-05-28 20:00:00,6.2,12.1,15.8,63
2024-05-28 21:00:00,4.8,10.7,13.3,57
2024-05-28 22:00:00,3.6,7.1,10.1,30
2024-05-28 23:00:00,3.3,5.7,7.9,342
2024-05-29 00:00:00,3.5,6.2,8.3,306
2024-05-29 01:00:00,3.4,7.4,8.3,299
